mn@@,00ffering,G00d,b@@d,general business related,,M/A Other
in talks,,achieves key milestone,dividend suspended,mark down,,have stalled
drops talks,,key milestone,suspend dividends,prices,,announces completion of merger
to be aquired,,anounces restructuring plan,grand jury subpoena,price,,
hired advisor,,restructuring plan,Did Not Meet Primary Endpoint,marked down,,
cash and stock,,signed a supply contract,Negative Trend Vote,subscription,,
seek sale,,Expands its Collaboration with,sexual misconduct,cut,,
buyout,,Announces FDA Acceptance of New Drug Application,sexual harassment,supply,,
tender offer,,Announces FDA Acceptance,internal investigation,demand,,
takeover,,FDA Says It Will Review Treatment,issued subpoenas,probe,,
advanced talks,,Gets FDA Acceptance,issues subpoenas,,,
cash offer,,FDA Acceptance,issued subpoena,,,
stock offer,,Accepted for Regulatory Review,issues subpoena,,,
license agreement,,receive regulatory milestone,subpoena,,,
explore options,,Significant milestone,subpoenaed,,,
renewed takeover speculation,,Announces Definitive Asset Purchase Agreement,declaratory judgment,,,
merger,,overwhelming positive response,postpones release,,,
got approach from,,Announce Strategic Collaboration,won't release financial results,,,
hire bank to weigh sale,,Collaboration To Develop,did not meet its primary endpoint,,,
in talks with,,announced a collaboration with,said to be investigating,,,
held takeover talks,,Investment Will Strengthen Balance Sheet,doj investigation,,,
talks are on hold,,Support Transition to High Performance,us probe,,,
deal would value,,Announces Transformational,conducting investigation,,,
have been discussing ,,extended adjuvant treatment,announces investigation,,,
exploring sale,,Announces FDA Approval,deal may be off,,,
nearing deal,,announces breakthrough discovery,could turn its back on the planned acquisition,,,
entered into a definitive agreement,,Announces Effective License,evidence of wrongdoing,,,
acquire a significant position,,meets primary endpoint,investigating potential breaches,,,
get interest from,,announces exclusive distribution,may back out of,,,
draw interest from,,announced a network services agreement,allegations prove to be conclusive,,,
drawing interest from,,partner to extend payments to,withdraw from the contract,,,
getting interest from,,reports topline phase,announces probe,,,
bidders,,announces topline phase,possible data breaches,,,
suitors,,demonstrates comparable efficacy,hamper a deal,,,
acquiring,,superiority clinical trial,may be in doubt,,,
acquirer,,announces major expansion,may be kaput,,,
eyeing,,corporate milestone,data integrity issues,,,
purchase,,announces strategic initiatives,investigate alleged breaches,,,
contemplating,,to enhance shareholder value,investigation by acquirer,,,
,,demonstrates improved,fda breaches,,,
,,announced positive top-line results,data breaches,,,
,,reports favorable results from,independent investigation,,,
,,icahn stake,refusal to file letter,,,
,,icahn acquires,fda refusal,,,
,,icahn has acquired,fda turns down,,,
,,a major breakthrough for,fda rejects,,,
,,european commission awards,fda refuses,,,
,,confidential definitive agreement,would not accept a drug marketing application,,,
,,positive preclinical study,fda declines to,,,
,,announces positive topline results,sec investigation,,,
,,primary endpoint achieved,sec probe,,,
,,primary endpoints achieved,to investigate its,,,
